"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"210","00AMGF",39.9,9.4,15.6,0.4
"211","00AMGG",50.7,11,18.4,0.3
"212","00AMGH",43.1,11.6,19.3,0.4
"213","00AMGJ",44.1,10.4,16.1,0.3
"214","00AMGK",54.3,9.4,17.7,0.3
"215","00AMGL",57.9,13.6,24.6,0.5
"216","00AMGM",32,11.4,18.5,0.5
"217","00AMGN",37,7.1,24.2,0.5
"218","00AMGP",44.5,8.5,29,0.4
"219","00AMGQ",50.1,12.2,18.8,0.4
"220","00AMGR",47,10.8,31.7,0.4
"221","00AMGS",32.2,8.3,14.2,0.4
"222","00AMGT",52.3,12.5,19.5,0.4
"223","00AMGU",53.8,12.2,22.8,0.5
"224","00ANGA",24.9,4.5,9.3,0.5
"225","00ANGB",34.8,6.7,13.7,0.5
"226","00ANGC",21.9,4.7,9.3,0.5
"227","00ANGD",55.9,7.9,23,0.4
"228","00ANGE",36.2,4.6,14.8,0.5
"229","00ANGF",31.9,3.8,11.7,0.5
"230","00ANGG",39.9,5.5,15,0.5
"231","00ANGH",18.1,2.8,9.7,0.7
"232","00ANGJ",28.6,4.7,11.2,0.4
"233","00ANGK",14.2,1.8,9.9,0.9
"234","00ANGL",20.6,3,9.5,0.8
"235","00ANGM",23.2,3.4,9.9,0.6
"236","00ANGN",33.9,4.2,12.8,0.6
"237","00ANGP",37.9,8.2,13.9,0.4
"238","00ANGQ",23.7,3.6,9.4,0.6
"239","00ANGR",52.3,10.5,21.5,0.5
"240","00APGA",9,3.4,8,1
"241","00APGB",28.4,8.5,17.3,0.6
"242","00APGC",28.2,15.3,22.5,0.5
"243","00APGD",10.2,3.4,6.4,0.7
"244","00APGE",11.2,3.5,9.2,0.9
"245","00APGF",13.9,9.3,14,0.5
"246","00APGG",11.1,3.3,6.4,0.8
"247","00APGH",29.5,8.6,13.8,0.6
"248","00APGJ",9.4,3,8.3,0.9
"249","00APGK",38.2,12.1,20.8,0.5
"250","00APGL",48.6,20.8,29.2,0.5
"251","00APGM",23.6,11.3,20.4,0.5
"252","00APGN",31.8,10.3,24.4,0.5
"253","00APGP",22.9,5.5,10.1,0.6
"254","00APGQ",39.2,12.7,22.7,0.4
"255","00APGR",39.2,11.8,24.7,0.5
"256","00APGS",36,12,23.9,0.5
"257","00APGT",48.7,14.4,30,0.6
"258","00APGU",23.2,9.2,20,0.6
"259","00AQFY",3.7,2.8,15.1,1.5
"260","00AQFZ",10.2,2.9,17.8,1.3
"261","00AQGA",10.3,4.3,22.5,1.1
"262","00AQGB",11.4,5.3,11.7,0.8
"263","00AQGC",13.8,3.4,13.3,1
"264","00AQGD",15.9,4.7,19.4,1.3
"265","00AQGE",8.5,2.4,15.4,1.4
"266","00AQGF",4,2.5,12.9,1.4
"267","00AQGG",7.2,3.7,13.1,1.1
"268","00AQGH",14.8,3.7,23.4,1.2
"269","00AQGJ",3,3,17.9,1.4
"270","00AQGK",11.1,6.1,17.1,0.9
"271","00AQGL",14.6,2.8,14.7,1.3
"272","00AQGM",6.7,1.9,11.4,1.4
"273","00AQGN",3.9,3.2,20.8,1.2
"274","00AQGP",2.2,3.2,13.7,1.3
"275","00AQGQ",25.4,5.7,19.2,1
"276","00AQGR",9.5,5.2,17.3,1.2
"277","00AQGS",15,3.2,19.7,1.4
"278","00AQGT",15.1,6.4,20.9,1
"279","00AQGU",9.6,3.7,13.4,1.1
"280","00ARGC",17.4,5,24.9,1
"281","00ARGD",4.8,2.7,22.2,1.3
"282","00ARGE",15.1,5,29.6,1.1
"283","00ARGF",3.9,2.5,23.1,1.6
"284","00ARGG",41.9,9.3,34.2,1
"285","00ARGH",4.4,3.1,25.3,1.3
"286","00ARGJ",16,4.8,25.8,1.2
"287","00ARGK",20.6,6.4,30.4,1.3
"288","00ARGL",37.1,8.8,35.8,1
"289","00ARGM",7.2,3.2,23.7,1.4
"290","00ARGN",11.4,5,29.6,1.2
"291","00ARGP",5.4,3.2,25.7,1.4
"292","00ARGQ",8.9,5.2,29.8,1.3
"293","00ARGR",13,5,21,0.9
"294","00ARGS",11.3,3.7,26.2,1.2
"295","00ARGT",19.8,7.3,31.4,1.2
"296","00ARGU",8.8,3.9,20,1.3
"297","00ARGW",1.9,31.6,19,1.4
"298","00ASGG",19.2,5.8,22.4,1.2
"299","00ASGH",25.2,7.6,24,1.1
"300","00ASGJ",22,3.3,17.6,1.1
"301","00ASGK",7.3,2.4,17.2,1.4
"302","00ASGL",9.7,4.2,21.6,1.3
"303","00ASGM",7.2,2,13.6,1.5
"304","00ASGN",24,3.2,23.8,1.4
"305","00ASGP",14.8,3.7,19.2,1.1
"306","00ASGQ",14.8,4.5,19.3,1.3
"307","00ASGR",4.4,1.6,14.6,1.6
"308","00ASGS",4.1,2,17,1.3
"309","00ASGT",14.2,2.3,13.3,1.3
"310","00ASGU",15.5,2.6,16.6,1.3
"311","00ASGW",20.4,6,22,1.2
"312","00ASGX",10.1,3.4,18.3,1.2
"313","00ASGY",30.1,7.9,24.7,1
"314","00ASGZ",12.7,2.9,16.8,1.3
"315","00ASHA",22.2,3.9,14.1,1
"316","00ASHB",26.4,5.3,24.3,1.1
